VM,Datacenter,Cluster,Hard Disk,Datastore,VMConfigFile,VMDKpath
dev-vc60-j1,AltaroProduction,Cluster,Hard disk 6,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1.vmx,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1_5.vmdk
dev-vc60-j1,AltaroProduction,Cluster,Hard disk 7,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1.vmx,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1_6.vmdk
dev-vc60-j1,AltaroProduction,Cluster,Hard disk 8,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1.vmx,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1_7.vmdk
dev-vc60-j1,AltaroProduction,Cluster,Hard disk 9,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1.vmx,[FREENAS HDD1.5] dev-vc60-j1/dev-vc60-j1_8.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 1,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 10,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_9-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 11,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_10-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 2,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_1-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 3,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_2-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 4,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_3-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 5,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_4-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 6,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_5-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 7,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_6-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 8,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_7-000001.vmdk
dev-vc60-l1,AltaroProduction,Cluster,Hard disk 9,FREENAS HDD1.5,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1.vmx,[FREENAS HDD1.5] dev-vc60-l1/dev-vc60-l1_8-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 10,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_9-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 11,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_10-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 12,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_11-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 2,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_1-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 3,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_2-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 4,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_3-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 5,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_4-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 6,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_5-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 7,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_6-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 8,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_7-000001.vmdk
dev-VC65-j1,AltaroProduction,Cluster,Hard disk 9,SAN_Storage,[SAN_Storage] dev-VC65-j1/dev-VC65-j1.vmx,[SAN_Storage] dev-VC65-j1/dev-VC65-j1_8-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 10,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_9-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 11,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_10-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 12,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_11-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 2,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_1-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 3,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_2-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 4,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_3-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 5,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_4-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 6,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_5-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 7,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_6-000001.vmdk
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 8,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_7-000001.vmdk
